"","vetyears","natcity","natroad","natmass"
"17174","2 To 4 Years","Too Little","About Right","Too Little"
"17175","Less Than 2 Yrs",NA,"Too Little","About Right"
"17178","More Than 4 Yrs","Too Little","Too Much","Too Little"
"17186","2 To 4 Years",NA,"Too Much","Too Much"
"17187","2 To 4 Years","Too Little","Too Little","Too Little"
"17189","2 To 4 Years","Too Much","Too Little","Too Little"
"17191","Less Than 2 Yrs","About Right","Too Little","Too Little"
"17192","2 To 4 Years",NA,"Too Little","About Right"
"17198","Less Than 2 Yrs",NA,"Too Much",NA
"17203","More Than 4 Yrs",NA,"Too Little",NA
"17218","2 To 4 Years","Too Much","Too Little","Too Much"
"17219","More Than 4 Yrs",NA,"Too Little","About Right"
"17220","Less Than 2 Yrs","About Right","Too Little","About Right"
"17242","2 To 4 Years","About Right","About Right","Too Little"
"17249","2 To 4 Years",NA,"About Right","About Right"
"17250","2 To 4 Years",NA,"About Right","Too Little"
"17264","2 To 4 Years",NA,"Too Little","Too Much"
"17267","More Than 4 Yrs",NA,"About Right","About Right"
"17273","Less Than 2 Yrs",NA,"About Right","About Right"
"17279","2 To 4 Years",NA,"About Right","About Right"
"17280","2 To 4 Years",NA,"Too Much","About Right"
"17289","2 To 4 Years",NA,"About Right","Too Little"
"17291","2 To 4 Years","Too Much","Too Much","Too Little"
"17292","More Than 4 Yrs",NA,"About Right","Too Little"
"17293","2 To 4 Years","Too Little","Too Little","Too Little"
"17300","2 To 4 Years",NA,NA,NA
"17306","Less Than 2 Yrs","Too Much","About Right","Too Little"
"17326","2 To 4 Years","Too Little","Too Little","About Right"
"17347","2 To 4 Years","About Right","Too Little","About Right"
"17352","2 To 4 Years",NA,"Too Little","About Right"
"17355","Less Than 2 Yrs","Too Little","Too Little","About Right"
"17366","More Than 4 Yrs",NA,"About Right","About Right"
"17367","More Than 4 Yrs","Too Little","Too Little","Too Much"
"17370","2 To 4 Years","About Right","Too Little","About Right"
"17374","2 To 4 Years","Too Little","Too Little","Too Little"
"17376","2 To 4 Years","Too Little","Too Little","Too Little"
"17377","2 To 4 Years",NA,"Too Little","Too Much"
"17379","2 To 4 Years",NA,"Too Little","Too Much"
"17380","More Than 4 Yrs","About Right","Too Little","About Right"
"17387","2 To 4 Years","Too Little","About Right","Too Much"
"17388","Less Than 2 Yrs",NA,"Too Much","Too Much"
"17393","More Than 4 Yrs","About Right","Too Little","Too Little"
"17400","2 To 4 Years","Too Little","Too Little","Too Much"
"17401","2 To 4 Years",NA,"About Right","Too Little"
"17402","2 To 4 Years",NA,"About Right","About Right"
"17406","2 To 4 Years",NA,"About Right","About Right"
"17407","2 To 4 Years","About Right","About Right","About Right"
"17413","2 To 4 Years","About Right","About Right","Too Much"
"17415","More Than 4 Yrs",NA,"Too Little","Too Little"
"17416","More Than 4 Yrs","About Right","About Right","About Right"
"17417","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"17419","2 To 4 Years","Too Little","Too Much","Too Much"
"17425","Less Than 2 Yrs","Too Much","About Right","About Right"
"17426","2 To 4 Years",NA,"Too Little","Too Little"
"17427","2 To 4 Years",NA,"Too Little","About Right"
"17435","2 To 4 Years","Too Little","Too Little","About Right"
"17448","2 To 4 Years",NA,"About Right","About Right"
"17452","2 To 4 Years",NA,"Too Little","Too Little"
"17459","Less Than 2 Yrs",NA,"About Right","About Right"
"17461","Less Than 2 Yrs","Too Little","Too Much","Too Little"
"17465","More Than 4 Yrs",NA,"Too Little","Too Little"
"17469","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"17478","2 To 4 Years",NA,"About Right","About Right"
"17479","2 To 4 Years","Too Little","Too Little","Too Little"
"17487","2 To 4 Years","Too Little","Too Little","Too Little"
"17492","More Than 4 Yrs","Too Little","Too Little","Too Little"
"17493","2 To 4 Years",NA,"Too Little","About Right"
"17503","2 To 4 Years","About Right","About Right","Too Much"
"17509","2 To 4 Years",NA,"Too Little",NA
"17514","Less Than 2 Yrs",NA,"Too Little","About Right"
"17516","2 To 4 Years",NA,"About Right","About Right"
"17522","More Than 4 Yrs","About Right","Too Little","Too Little"
"17524","Less Than 2 Yrs",NA,"About Right","About Right"
"17528","2 To 4 Years",NA,NA,"About Right"
"17533","2 To 4 Years","Too Much","Too Little","Too Much"
"17536","2 To 4 Years","About Right","Too Little","Too Little"
"17552","2 To 4 Years",NA,"About Right","About Right"
"17555","Less Than 2 Yrs",NA,"Too Little","Too Much"
"17562","2 To 4 Years","Too Little","About Right","Too Little"
"17564","2 To 4 Years","Too Little","Too Little","Too Little"
"17565","Less Than 2 Yrs",NA,"Too Much","Too Little"
"17568","Less Than 2 Yrs","Too Much","Too Much","About Right"
"17573","2 To 4 Years","Too Little","About Right","Too Little"
"17575","2 To 4 Years","About Right","About Right","Too Little"
"17576","Less Than 2 Yrs",NA,"About Right","Too Little"
"17577","2 To 4 Years","Too Little","About Right","About Right"
"17579","2 To 4 Years","Too Little","Too Much","Too Little"
"17582","2 To 4 Years",NA,"About Right","About Right"
"17583","2 To 4 Years","Too Little","About Right","About Right"
"17584","2 To 4 Years",NA,"About Right","Too Much"
"17586","2 To 4 Years",NA,"About Right","Too Little"
"17588","More Than 4 Yrs",NA,"Too Little","About Right"
"17595","2 To 4 Years","Too Little","Too Little","Too Little"
"17597","More Than 4 Yrs","Too Much","Too Much","Too Much"
"17598","Less Than 2 Yrs",NA,NA,"Too Little"
"17599","2 To 4 Years","Too Little","About Right","About Right"
"17601","2 To 4 Years",NA,"Too Little","Too Little"
"17617","2 To 4 Years","About Right","Too Little","About Right"
"17625","2 To 4 Years",NA,"Too Little","About Right"
"17665","2 To 4 Years",NA,"About Right","Too Little"
"17669","More Than 4 Yrs","Too Little","Too Little","About Right"
"17670","2 To 4 Years","About Right","Too Little","Too Little"
"17685","2 To 4 Years","Too Little","Too Little","About Right"
"17689","2 To 4 Years","Too Little","Too Little","About Right"
"17691","2 To 4 Years","About Right","Too Little","About Right"
"17697","2 To 4 Years",NA,"Too Little","Too Little"
"17701","Less Than 2 Yrs","About Right","Too Little","About Right"
"17708","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"17711","2 To 4 Years",NA,"About Right","Too Much"
"17719","More Than 4 Yrs","Too Little","About Right","About Right"
"17727","2 To 4 Years","Too Much","About Right","Too Much"
"17748","More Than 4 Yrs",NA,"Too Little","Too Much"
"17751","2 To 4 Years",NA,"Too Little","Too Little"
"17756","Less Than 2 Yrs",NA,"About Right","About Right"
"17760","Less Than 2 Yrs",NA,"About Right","About Right"
"17761","More Than 4 Yrs","Too Much","About Right","Too Much"
"17783","More Than 4 Yrs",NA,"About Right","About Right"
"17784","More Than 4 Yrs","Too Much","About Right","Too Much"
"17790","2 To 4 Years",NA,"Too Much","Too Little"
"17791","More Than 4 Yrs","Too Little","Too Little","Too Little"
"17802","2 To 4 Years","Too Little","About Right","Too Much"
"17804","2 To 4 Years","Too Little","About Right","About Right"
"17809","2 To 4 Years","Too Little","Too Little","Too Little"
"17817","Less Than 2 Yrs",NA,"About Right","Too Little"
"17829","2 To 4 Years",NA,"About Right","About Right"
"17835","More Than 4 Yrs","Too Little","Too Much","Too Little"
"17842","Less Than 2 Yrs","About Right","About Right","Too Little"
"17847","Less Than 2 Yrs",NA,"About Right","Too Little"
"17851","2 To 4 Years",NA,"About Right","Too Little"
"17852","More Than 4 Yrs",NA,"Too Little","Too Much"
"17856","2 To 4 Years","Too Much","About Right","Too Much"
"17862","2 To 4 Years","Too Little","About Right","Too Little"
"17866","2 To 4 Years",NA,"About Right","Too Little"
"17876","2 To 4 Years","Too Little","About Right","Too Little"
"17877","Less Than 2 Yrs",NA,"Too Little","About Right"
"17880","2 To 4 Years","Too Little","Too Little","About Right"
"17886","Less Than 2 Yrs","About Right","About Right","About Right"
"17888","2 To 4 Years","About Right","Too Much","Too Little"
"17894","2 To 4 Years","Too Much","Too Little","About Right"
"17895","2 To 4 Years",NA,"Too Much","Too Much"
"17896","More Than 4 Yrs","About Right","Too Much","Too Little"
"17902","Less Than 2 Yrs","About Right","About Right","Too Much"
"17906","Less Than 2 Yrs","About Right","About Right","About Right"
"17908","2 To 4 Years","Too Little","About Right","Too Little"
"17910","More Than 4 Yrs","About Right","About Right","About Right"
"17920","Less Than 2 Yrs","Too Much","Too Little","About Right"
"17930","Less Than 2 Yrs",NA,"Too Little","Too Little"
"17933","Less Than 2 Yrs","Too Little","Too Little","About Right"
"17934","2 To 4 Years",NA,"Too Little","About Right"
"17937","2 To 4 Years","Too Much","Too Little","Too Little"
"17944","2 To 4 Years",NA,"About Right","About Right"
"17947","Less Than 2 Yrs",NA,"About Right","About Right"
"17949","More Than 4 Yrs",NA,"Too Little","Too Little"
"17950","2 To 4 Years","About Right","Too Little","Too Much"
"17952","More Than 4 Yrs",NA,"About Right","About Right"
"17954","More Than 4 Yrs","Too Little","Too Little","Too Much"
"17958","2 To 4 Years","Too Much","About Right","Too Much"
"17967","2 To 4 Years","About Right","Too Little","Too Little"
"17982","2 To 4 Years","Too Much","Too Little",NA
"17983","Less Than 2 Yrs",NA,"About Right","Too Much"
"17988","2 To 4 Years","About Right","About Right","About Right"
"18004","2 To 4 Years",NA,"About Right","About Right"
"18011","Less Than 2 Yrs","Too Much","Too Much",NA
"18017","More Than 4 Yrs","Too Little","About Right","About Right"
"18021","2 To 4 Years","Too Little","About Right","Too Much"
"18029","2 To 4 Years","Too Little","About Right","About Right"
"18035","Less Than 2 Yrs","About Right","About Right","Too Little"
"18036","2 To 4 Years",NA,"Too Little","Too Much"
"18047","2 To 4 Years","Too Much","About Right","About Right"
"18057","2 To 4 Years","Too Little","Too Little","Too Much"
"18061","2 To 4 Years",NA,"About Right","Too Much"
"18062","Less Than 2 Yrs","About Right","Too Little","Too Much"
"18069","Less Than 2 Yrs","Too Much","Too Little","About Right"
"18077","2 To 4 Years",NA,"About Right","About Right"
"18080","More Than 4 Yrs","Too Little","About Right","Too Little"
"18084","Less Than 2 Yrs","About Right","About Right","About Right"
"18086","More Than 4 Yrs",NA,"Too Little","Too Little"
"18093","2 To 4 Years",NA,"About Right","About Right"
"18094","Less Than 2 Yrs","About Right","About Right","About Right"
"18103","2 To 4 Years","About Right","About Right","About Right"
"18107","More Than 4 Yrs","Too Much","Too Little","Too Little"
"18110","2 To 4 Years",NA,"About Right","Too Little"
"18112","Less Than 2 Yrs","About Right","Too Little","About Right"
"18116","Less Than 2 Yrs","Too Little","About Right","About Right"
"18118","More Than 4 Yrs","Too Much","Too Little","Too Little"
"18120","2 To 4 Years","About Right","Too Much","Too Little"
"18122","2 To 4 Years","Too Much","About Right","Too Much"
"18127","2 To 4 Years",NA,"About Right","Too Little"
"18132","2 To 4 Years",NA,NA,NA
"18133","2 To 4 Years","About Right","Too Little","About Right"
"18134","Less Than 2 Yrs","Too Little","About Right","Too Little"
"18139","2 To 4 Years",NA,NA,NA
"18143","More Than 4 Yrs","Too Little","Too Little","About Right"
"18146","Less Than 2 Yrs",NA,"About Right","About Right"
"18152","Less Than 2 Yrs",NA,"Too Little","Too Little"
"18157","Less Than 2 Yrs","About Right","Too Little","About Right"
"18164","More Than 4 Yrs","About Right","About Right","About Right"
"18165","More Than 4 Yrs","Too Much","Too Little","About Right"
"18175","2 To 4 Years","About Right","About Right","About Right"
"18180","More Than 4 Yrs",NA,"Too Little","Too Little"
"18181","Less Than 2 Yrs",NA,"Too Little","Too Little"
"18182","2 To 4 Years","Too Much","Too Little","Too Much"
"18184","2 To 4 Years","Too Much","Too Little","Too Much"
"18192","More Than 4 Yrs","About Right","About Right","Too Much"
"18196","2 To 4 Years",NA,"Too Little","About Right"
"18211","2 To 4 Years",NA,NA,"Too Little"
"18214","2 To 4 Years","Too Much","Too Little","Too Much"
"18217","Less Than 2 Yrs","Too Little","About Right","About Right"
"18226","2 To 4 Years","Too Much","Too Little","Too Much"
"18228","Less Than 2 Yrs","Too Much","Too Little","About Right"
"18230","Less Than 2 Yrs",NA,"Too Little",NA
"18231","2 To 4 Years",NA,"About Right",NA
"18256","Less Than 2 Yrs",NA,"Too Little","About Right"
"18261","Less Than 2 Yrs","Too Little","About Right","Too Little"
"18265","2 To 4 Years",NA,"Too Little","Too Little"
"18266","Less Than 2 Yrs","About Right","Too Little","Too Little"
"18269","Less Than 2 Yrs","About Right","Too Little","About Right"
"18274","2 To 4 Years","Too Much","About Right",NA
"18282","2 To 4 Years","About Right","About Right","About Right"
"18283","2 To 4 Years",NA,"Too Little","About Right"
"18285","More Than 4 Yrs",NA,"About Right",NA
"18289","2 To 4 Years","About Right","Too Little","Too Much"
"18297","Less Than 2 Yrs",NA,"Too Little","About Right"
"18300","2 To 4 Years","Too Much","Too Little","Too Much"
"18302","2 To 4 Years","About Right","About Right","Too Much"
"18311","2 To 4 Years","Too Little","Too Little","About Right"
"18318","2 To 4 Years","Too Much","Too Little","Too Much"
"18322","Less Than 2 Yrs","About Right","About Right","Too Little"
"18338","2 To 4 Years","Too Little","Too Little","Too Much"
"18341","2 To 4 Years",NA,"Too Little","Too Little"
"18366","2 To 4 Years","About Right","Too Little","About Right"
"18370","2 To 4 Years",NA,"About Right","Too Little"
"18372","Less Than 2 Yrs","Too Much","About Right","About Right"
"18389","More Than 4 Yrs","About Right","Too Little",NA
"18391","More Than 4 Yrs",NA,"Too Little","Too Much"
"18392","More Than 4 Yrs","Too Little","Too Little","Too Little"
"18393","2 To 4 Years","Too Much","Too Little","Too Much"
"18403","2 To 4 Years","Too Little","About Right","Too Little"
"18408","2 To 4 Years","Too Much","Too Much","Too Little"
"18409","More Than 4 Yrs",NA,NA,NA
"18422","More Than 4 Yrs",NA,"About Right",NA
"18424","More Than 4 Yrs","Too Little","Too Little","Too Little"
"18426","2 To 4 Years",NA,"About Right",NA
"18428","More Than 4 Yrs","Too Little","Too Little","Too Little"
"18437","2 To 4 Years",NA,"Too Little",NA
"18444","2 To 4 Years",NA,"Too Much","Too Much"
"18445","2 To 4 Years","Too Little","About Right","Too Little"
"18447","Less Than 2 Yrs",NA,"About Right",NA
"18448","Less Than 2 Yrs",NA,"Too Little","About Right"
"18449","2 To 4 Years","About Right","Too Much","About Right"
"18450","2 To 4 Years","Too Much","About Right","Too Much"
"18453","2 To 4 Years","Too Much","Too Little","Too Much"
"18467","2 To 4 Years",NA,"Too Little","About Right"
"18468","2 To 4 Years",NA,NA,NA
"18487","2 To 4 Years","Too Much","About Right","About Right"
"18491","2 To 4 Years","About Right","About Right","About Right"
"18492","2 To 4 Years","Too Much",NA,"About Right"
"18497","Less Than 2 Yrs","Too Little","About Right","About Right"
"18499","More Than 4 Yrs","Too Much","About Right","Too Little"
"18503","2 To 4 Years","Too Little","Too Little","Too Little"
"18510","More Than 4 Yrs",NA,"Too Little","About Right"
"18518","2 To 4 Years","Too Little","About Right","Too Little"
"18519","2 To 4 Years",NA,"Too Little","About Right"
"18521","More Than 4 Yrs",NA,"Too Little","About Right"
"18525","2 To 4 Years","Too Much","Too Little","About Right"
"18526","2 To 4 Years","About Right","About Right","Too Little"
"18529","More Than 4 Yrs",NA,"About Right","Too Much"
"18530","2 To 4 Years","Too Little","Too Little","Too Little"
"18557","2 To 4 Years","Too Little","Too Much","Too Little"
"18559","2 To 4 Years","About Right","About Right","About Right"
"18562","2 To 4 Years","Too Much","About Right","About Right"
"18567","2 To 4 Years","Too Much","Too Little","Too Little"
"18568","2 To 4 Years","About Right","About Right","About Right"
"18570","2 To 4 Years","Too Little","About Right","Too Little"
"18571","2 To 4 Years",NA,"Too Little","About Right"
"18572","2 To 4 Years",NA,"About Right","About Right"
"18574","Less Than 2 Yrs","About Right","Too Little","Too Little"
"18578","2 To 4 Years","About Right","About Right","Too Much"
"18580","2 To 4 Years","About Right","Too Little","About Right"
"21912","More Than 4 Yrs",NA,"Too Little","Too Little"
"21915","Less Than 2 Yrs",NA,"About Right","About Right"
"21937","Less Than 2 Yrs","Too Little","Too Little","Too Much"
"21942","2 To 4 Years","About Right","About Right","About Right"
"21955","More Than 4 Yrs",NA,"Too Little","Too Little"
"21962","Less Than 2 Yrs","Too Little","Too Little","About Right"
"21980","2 To 4 Years",NA,"Too Little","Too Little"
"21985","More Than 4 Yrs",NA,"About Right","About Right"
"22001","2 To 4 Years",NA,"Too Little","Too Little"
"22003","Less Than 2 Yrs",NA,"About Right","About Right"
"22005","More Than 4 Yrs","Too Little","Too Little","About Right"
"22013","2 To 4 Years",NA,"About Right","About Right"
"22016","More Than 4 Yrs",NA,"Too Much","Too Much"
"22042","2 To 4 Years","Too Little","Too Little","Too Little"
"22072","2 To 4 Years","Too Much","Too Much","About Right"
"22079","More Than 4 Yrs","About Right","About Right","About Right"
"22081","More Than 4 Yrs",NA,"About Right","About Right"
"22083","Less Than 2 Yrs",NA,"Too Little","About Right"
"22098","2 To 4 Years",NA,"About Right","About Right"
"22104","2 To 4 Years",NA,"About Right","Too Little"
"22105","2 To 4 Years",NA,"About Right","Too Little"
"22108","More Than 4 Yrs","Too Much","About Right","Too Much"
"22150","2 To 4 Years",NA,"About Right","Too Little"
"22151","2 To 4 Years",NA,"Too Much","Too Little"
"22162","More Than 4 Yrs","About Right","About Right","Too Little"
"22165","2 To 4 Years",NA,"About Right","About Right"
"22180","2 To 4 Years",NA,"Too Little","Too Little"
"22199","Less Than 2 Yrs","Too Little","Too Little","About Right"
"22201","2 To 4 Years",NA,"About Right","Too Much"
"22214","2 To 4 Years","Too Little","About Right","Too Little"
"22232","More Than 4 Yrs",NA,"Too Little","Too Much"
"22268","2 To 4 Years",NA,"Too Little","About Right"
"22276","2 To 4 Years",NA,"About Right","About Right"
"22296","2 To 4 Years","Too Little","Too Little","About Right"
"22301","2 To 4 Years",NA,"About Right",NA
"22311","2 To 4 Years",NA,"Too Little","About Right"
"22315","Less Than 2 Yrs","Too Little","Too Little","About Right"
"22328","Less Than 2 Yrs","Too Little","About Right","Too Little"
"22339","2 To 4 Years",NA,"Too Little","Too Little"
"22363","Less Than 2 Yrs",NA,"Too Much","Too Much"
"22378","2 To 4 Years",NA,"Too Little","About Right"
"22382","2 To 4 Years","About Right","About Right","Too Little"
"22384","More Than 4 Yrs",NA,"Too Little","Too Little"
"22399","More Than 4 Yrs","About Right","Too Little","About Right"
"22411","2 To 4 Years",NA,"About Right","About Right"
"22423","2 To 4 Years",NA,"Too Much","Too Much"
"22424","2 To 4 Years","Too Little","About Right","Too Little"
"22429","More Than 4 Yrs","About Right","About Right","About Right"
"22440","2 To 4 Years","About Right","Too Little","Too Little"
"22441","2 To 4 Years",NA,"Too Little","Too Little"
"22452","Less Than 2 Yrs","About Right","Too Little","Too Much"
"22460","Less Than 2 Yrs",NA,"Too Little","Too Much"
"22475","2 To 4 Years",NA,"Too Little","About Right"
"22494","2 To 4 Years","About Right","About Right","About Right"
"22503","2 To 4 Years",NA,"About Right","About Right"
"22509","2 To 4 Years",NA,"About Right","About Right"
"22532","Less Than 2 Yrs",NA,"Too Little","Too Little"
"22545","2 To 4 Years",NA,"Too Little","Too Little"
"22548","2 To 4 Years",NA,"Too Little","Too Much"
"22550","2 To 4 Years","Too Little","About Right","About Right"
"22558","2 To 4 Years","Too Much","Too Little","Too Much"
"22562","2 To 4 Years","Too Little","About Right","About Right"
"22567","2 To 4 Years","About Right","Too Little","About Right"
"22571","Less Than 2 Yrs",NA,"Too Little","Too Little"
"22578","2 To 4 Years",NA,"Too Much","Too Little"
"22580","More Than 4 Yrs",NA,"About Right",NA
"22595","More Than 4 Yrs",NA,"Too Little","Too Little"
"22625","2 To 4 Years","Too Little","Too Little","About Right"
"22633","Less Than 2 Yrs",NA,"Too Little","About Right"
"22634","2 To 4 Years","About Right","About Right","About Right"
"22635","Less Than 2 Yrs","Too Little","About Right","Too Little"
"22655","2 To 4 Years","About Right","About Right","Too Little"
"22657","Less Than 2 Yrs","Too Much","Too Little","Too Much"
"22659","More Than 4 Yrs","About Right","Too Little","About Right"
"22666","2 To 4 Years",NA,"Too Little","About Right"
"22668","More Than 4 Yrs",NA,"About Right","Too Little"
"22680","2 To 4 Years","Too Little","About Right","About Right"
"22689","2 To 4 Years","Too Much","Too Little","About Right"
"22695","2 To 4 Years",NA,"About Right","About Right"
"22697","Less Than 2 Yrs",NA,"About Right","Too Much"
"22702","Less Than 2 Yrs","Too Little","About Right",NA
"22727","2 To 4 Years",NA,"About Right","About Right"
"22728","2 To 4 Years","About Right","About Right","About Right"
"22730","2 To 4 Years",NA,"Too Little",NA
"22732","Less Than 2 Yrs",NA,"Too Little","About Right"
"22747","2 To 4 Years",NA,"Too Little",NA
"22760","More Than 4 Yrs","Too Little","About Right","Too Little"
"22781","More Than 4 Yrs",NA,"About Right","Too Much"
"22786","2 To 4 Years",NA,"About Right","About Right"
"22788","More Than 4 Yrs","Too Little","Too Little","Too Little"
"22795","More Than 4 Yrs",NA,"Too Much","Too Much"
"22803","2 To 4 Years","Too Much","About Right","About Right"
"22804","More Than 4 Yrs",NA,"About Right","About Right"
"22809","2 To 4 Years",NA,"Too Little",NA
"22810","More Than 4 Yrs","Too Little","Too Little","Too Much"
"22811","Less Than 2 Yrs","About Right","Too Much","Too Little"
"22814","2 To 4 Years",NA,"About Right","Too Little"
"22816","More Than 4 Yrs",NA,"Too Little","About Right"
"22821","2 To 4 Years","Too Little","Too Little",NA
"22824","More Than 4 Yrs","Too Little","Too Much","About Right"
"22838","2 To 4 Years",NA,"About Right","About Right"
"22854","More Than 4 Yrs",NA,"About Right","Too Much"
"22859","2 To 4 Years","Too Little","Too Little","Too Little"
"22864","More Than 4 Yrs",NA,"Too Little",NA
"22867","2 To 4 Years","Too Little","About Right","Too Little"
"22870","2 To 4 Years","Too Much","Too Little","Too Little"
"22876","More Than 4 Yrs",NA,"Too Little","Too Little"
"22882","2 To 4 Years",NA,"Too Little",NA
"22888","2 To 4 Years","Too Much","About Right","About Right"
"22891","More Than 4 Yrs","About Right","Too Little","Too Little"
"22900","More Than 4 Yrs",NA,"Too Little","Too Much"
"22904","More Than 4 Yrs",NA,"About Right","Too Much"
"22920","More Than 4 Yrs","About Right","About Right","About Right"
"22926","2 To 4 Years",NA,"About Right","About Right"
"22934","More Than 4 Yrs","About Right","Too Little","Too Little"
"22946","Less Than 2 Yrs","Too Little","About Right","Too Much"
"22949","2 To 4 Years",NA,"Too Little",NA
"22956","Less Than 2 Yrs","Too Little","About Right","Too Little"
"22958","Less Than 2 Yrs",NA,"Too Little","Too Little"
"22960","2 To 4 Years",NA,"Too Little","About Right"
"22975","More Than 4 Yrs","About Right","About Right","Too Little"
"23007","2 To 4 Years",NA,"About Right","About Right"
"23014","Less Than 2 Yrs","Too Little","Too Little","Too Much"
"23027","2 To 4 Years",NA,"Too Little","About Right"
"23029","2 To 4 Years","Too Much","Too Little","Too Little"
"23034","2 To 4 Years",NA,"About Right","Too Little"
"23042","Less Than 2 Yrs","Too Much","About Right","About Right"
"23057","Less Than 2 Yrs","Too Little","About Right","About Right"
"23058","2 To 4 Years",NA,"Too Little","About Right"
"23065","2 To 4 Years",NA,"Too Little","About Right"
"23069","Less Than 2 Yrs","About Right","Too Little","About Right"
"23074","2 To 4 Years",NA,"About Right","About Right"
"23092","More Than 4 Yrs","About Right","About Right","About Right"
"23097","More Than 4 Yrs",NA,"Too Much","Too Much"
"23098","2 To 4 Years",NA,"Too Little","Too Little"
"23102","2 To 4 Years","Too Little","About Right","About Right"
"23105","2 To 4 Years",NA,"Too Little","About Right"
"23118","2 To 4 Years",NA,"Too Little",NA
"23120","2 To 4 Years","Too Little","Too Little","Too Little"
"23126","2 To 4 Years","Too Little","Too Little","Too Little"
"23129","More Than 4 Yrs",NA,"About Right","About Right"
"23135","2 To 4 Years","About Right","Too Little","Too Little"
"23138","Less Than 2 Yrs",NA,"Too Much","About Right"
"23139","2 To 4 Years",NA,"Too Little","Too Little"
"23151","More Than 4 Yrs",NA,"About Right","Too Much"
"23165","2 To 4 Years",NA,"About Right",NA
"23167","2 To 4 Years",NA,"About Right","Too Much"
"23175","Less Than 2 Yrs","About Right","Too Little",NA
"23195","2 To 4 Years","Too Little","About Right","About Right"
"23196","2 To 4 Years",NA,"Too Little","Too Little"
"23208","More Than 4 Yrs","About Right","About Right","Too Much"
"23220","2 To 4 Years",NA,"Too Little","About Right"
"23224","More Than 4 Yrs","About Right","About Right","About Right"
"23232","2 To 4 Years",NA,"About Right","Too Much"
"23233","Less Than 2 Yrs",NA,NA,NA
"23235","Less Than 2 Yrs",NA,"Too Little","Too Little"
"23246","Less Than 2 Yrs",NA,"Too Much","About Right"
"23259","2 To 4 Years","Too Little","Too Little",NA
"23263","Less Than 2 Yrs",NA,"Too Little",NA
"23280","Less Than 2 Yrs","Too Little","About Right","Too Little"
"23281","2 To 4 Years",NA,"Too Little","Too Little"
"23282","Less Than 2 Yrs","About Right","Too Little","Too Little"
"23302","2 To 4 Years","About Right","About Right","About Right"
"23312","2 To 4 Years","Too Little","About Right","Too Little"
"23313","More Than 4 Yrs","Too Little","Too Little",NA
"23348","2 To 4 Years",NA,"About Right","Too Little"
"23365","More Than 4 Yrs",NA,"About Right","About Right"
"23369","More Than 4 Yrs","Too Little",NA,"Too Little"
"23394","2 To 4 Years",NA,"About Right","Too Little"
"23395","More Than 4 Yrs","Too Little","About Right","Too Little"
"23402","2 To 4 Years",NA,"Too Little","Too Much"
"23410","2 To 4 Years",NA,"About Right","Too Little"
"23434","More Than 4 Yrs","Too Little","About Right","Too Little"
"23444","2 To 4 Years","Too Little","Too Little","Too Little"
"23447","More Than 4 Yrs",NA,"Too Little","Too Little"
"23454","More Than 4 Yrs","Too Little","About Right","About Right"
"23458","Less Than 2 Yrs",NA,"About Right","About Right"
"23473","2 To 4 Years",NA,"Too Much","Too Much"
"23490","2 To 4 Years",NA,"Too Little","Too Little"
"23499","2 To 4 Years","Too Much",NA,NA
"23510","2 To 4 Years",NA,"About Right","About Right"
"23520","More Than 4 Yrs","Too Little","Too Little","Too Little"
"23526","2 To 4 Years",NA,"About Right","Too Little"
"23532","Less Than 2 Yrs",NA,"Too Much","Too Little"
"23538","Less Than 2 Yrs","Too Much","Too Little","Too Little"
"23541","More Than 4 Yrs",NA,"Too Little","Too Little"
"23546","2 To 4 Years",NA,"Too Little","About Right"
"23568","2 To 4 Years","Too Little","Too Little","Too Little"
"23584","Less Than 2 Yrs",NA,"About Right","About Right"
"23595","2 To 4 Years",NA,"About Right","Too Much"
"23599","2 To 4 Years",NA,"About Right","About Right"
"23603","Less Than 2 Yrs",NA,"Too Little","Too Much"
"23627","2 To 4 Years",NA,"Too Much","Too Much"
"23635","2 To 4 Years",NA,"About Right","Too Little"
"23643","2 To 4 Years",NA,"Too Little","Too Much"
"23649","2 To 4 Years","About Right","Too Little","Too Little"
"23652","2 To 4 Years",NA,"Too Little","Too Much"
"23654","2 To 4 Years",NA,"Too Little","Too Little"
"23656","Less Than 2 Yrs","Too Little","Too Little","About Right"
"23683","2 To 4 Years","About Right","About Right","About Right"
"23696","More Than 4 Yrs","Too Little","About Right","About Right"
"23701","More Than 4 Yrs",NA,"About Right","About Right"
"23708","2 To 4 Years","Too Little","Too Little","About Right"
"23739","Less Than 2 Yrs","Too Little","Too Little","About Right"
"23778","2 To 4 Years",NA,"About Right","About Right"
"23783","More Than 4 Yrs","Too Little","Too Little","Too Little"
"23786","More Than 4 Yrs","About Right","About Right","About Right"
"23789","More Than 4 Yrs",NA,"About Right","Too Little"
"23797","2 To 4 Years",NA,"Too Little","Too Little"
"23801","More Than 4 Yrs",NA,"Too Little","Too Little"
"23813","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"23830","2 To 4 Years","About Right","About Right","About Right"
"23831","2 To 4 Years",NA,NA,"Too Little"
"23833","2 To 4 Years",NA,"Too Little","Too Little"
